iso3,country,ccode,abbreviation,abbreviation_undp,democracy,democracy_trans,democracy_breakdowns,democracy_duration,democracy_omitteddata,democracy_femalesuffrage
USA,UNITED STATES OF AMERICA,2,USA,USA,1.0,0,0,206,1,1
CAN,CANADA,20,CAN,CAN,1.0,0,0,139,1,1
BHS,BAHAMAS,31,BHS,BHS,1.0,0,0,33,1,1
CUB,CUBA,40,CUB,CUB,0.0,0,2,53,0,0
HTI,HAITI,41,HTI,HAI,0.0,0,0,186,0,0
DOM,DOMINICAN REPUBLIC,42,DOM,DOM,1.0,0,0,40,1,1
JAM,JAMAICA,51,JAM,JAM,1.0,0,0,44,1,1
TTO,TRINIDAD & TOBAGO,52,TTO,TRI,1.0,0,0,44,1,1
BRB,BARBADOS,53,BRB,BRB,1.0,0,0,40,1,1
DMA,DOMINICA,54,DMA,DMA,1.0,0,0,28,1,1
GRD,GRENADA,55,GRD,GRD,1.0,0,1,22,1,1
LCA,ST. LUCIA,56,LCA,LCA,1.0,0,0,27,1,1
VCT,ST. VINCENT & GREN.,57,VCT,VCT,1.0,0,0,27,1,1
ATG,ANTIGUA,58,ATG,ATG,1.0,0,0,2,1,1
KNA,ST. KITTS & NEVIS,60,KNA,KNA,1.0,0,0,22,1,1
MEX,MEXICO,70,MEX,MEX,1.0,0,0,6,1,1
BLZ,BELIZE,80,BLZ,BLZ,1.0,0,0,25,1,1
GTM,GUATEMALA,90,GTM,GUA,1.0,0,3,20,1,1
HND,HONDURAS,91,HND,HON,1.0,0,2,24,1,1
SLV,EL SALVADOR,92,SLV,SAL,1.0,0,0,22,1,1
NIC,NICARAGUA,93,NIC,NIC,1.0,0,0,22,1,1
CRI,COSTA RICA,94,CRI,COS,1.0,0,0,57,1,1
PAN,PANAMA,95,PAN,PAN,1.0,0,1,15,1,1
COL,COLOMBIA,100,COL,COL,1.0,0,1,48,1,1
VEN,VENEZUELA,101,VEN,VEN,0.0,-1,1,1,0,0
GUY,GUYANA,110,GUY,GUY,1.0,0,0,14,1,1
SUR,SURINAME,115,SUR,SUR,1.0,0,2,15,1,1
ECU,ECUADOR,130,ECU,ECU,1.0,0,2,3,1,1
PER,PERU,135,PER,PER,1.0,0,3,5,1,1
BRA,BRAZIL,140,BRA,BRA,1.0,0,1,21,1,1
BOL,BOLIVIA,145,BOL,BOL,1.0,0,1,24,1,1
PRY,PARAGUAY,150,PRY,PAR,1.0,0,0,3,1,1
CHL,CHILE,155,CHL,CHL,1.0,0,2,16,1,1
ARG,ARGENTINA,160,ARG,ARG,1.0,0,4,23,1,1
URY,URUGUAY,165,URY,URU,1.0,0,2,21,1,1
GBR,UNITED KINGDOM,200,GBR,UK,1.0,0,0,121,1,1
IRL,IRELAND,205,IRL,IRE,1.0,0,0,84,1,1
NLD,NETHERLANDS,210,NLD,NTH,1.0,0,0,109,1,1
BEL,BELGIUM,211,BEL,BEL,1.0,0,0,112,1,1
LUX,LUXEMBOURG,212,LUX,LUX,1.0,0,0,116,1,1
FRA,FRANCE,220,FRA,FRN,1.0,0,2,60,1,1
MCO,MONACO,221,MCO,MCO,1.0,0,0,12,1,1
LIE,LIECHSTENSTEIN,223,LIE,LIE,1.0,0,0,15,1,1
CHE,SWITZERLAND,225,CHE,SWZ,1.0,0,0,158,1,1
ESP,SPAIN,230,ESP,SPN,1.0,0,1,29,1,1
AND,ANDORRA,232,AND,ADO,1.0,0,0,12,1,1
PRT,PORTUGAL,235,PRT,POR,1.0,0,1,30,1,1
DEU,GERMANY,255,DEU,GMY,1.0,0,1,16,1,1
POL,POLAND,290,POL,POL,1.0,0,1,17,1,1
AUT,AUSTRIA,305,AUT,AUS,1.0,0,1,60,1,1
HUN,HUNGARY,310,HUN,HUN,1.0,0,0,16,1,1
CZE,CZECH REPUBLIC,316,CZE,CZR,1.0,0,0,13,1,1
SVK,SLOVAKIA,317,SVK,SLO,1.0,0,0,13,1,1
ITA,ITALY,325,ITA,ITA,1.0,0,1,60,1,1
SMR,SAN MARINO,331,SMR,SMA,1.0,0,0,61,1,1
MLT,MALTA,338,MLT,MLT,1.0,0,0,42,1,1
ALB,ALBANIA,339,ALB,ALB,1.0,0,1,9,1,1
MKD,MACEDONIA,343,MKD,MAC,1.0,0,0,15,1,1
HRV,CROATIA,344,HRV,CRO,1.0,0,0,6,1,1
BIH,BOSNIA,346,BIH,BOS,1.0,0,0,14,1,1
SVN,SLOVENIA,349,SVN,SLV,1.0,0,0,15,1,1
GRC,GREECE,350,GRC,GRC,1.0,0,3,32,1,1
CYP,CYPRUS,352,CYP,CYP,1.0,0,0,30,1,1
BGR,BULGARIA,355,BGR,BUL,1.0,0,0,16,1,1
MDA,MOLDOVA,359,MDA,MLD,1.0,0,0,15,1,1
ROU,ROMANIA,360,ROU,RUM,1.0,0,0,15,1,1
RUS,RUSSIA,365,RUS,RUS,0.0,0,1,7,0,0
EST,ESTONIA,366,EST,EST,1.0,0,1,15,1,1
LVA,LATVIA,367,LVA,LAT,1.0,0,1,13,1,1
LTU,LITHUANIA,368,LTU,LIT,1.0,0,1,14,1,1
