iso3,country,status,pr_rating,cl_rating,a1,a2,a3,a,b1,b2,b3,b4,b,c1,c2,c3,c,pr,d1,d2,d3,d4,d,e1,e2,e3,e,f1,f2,f3,f4,f,g1,g2,g3,g4,g,cl,total
AFG,Afghanistan,NF,7,7,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,1,0,1,2,5,6
ALB,Albania,PF,3,3,3,3,3,9,3,3,3,3,12,3,2,2,7,28,2,4,3,4,13,3,3,2,8,3,2,2,3,10,3,2,2,2,9,40,68
DZA,Algeria,NF,6,5,1,1,1,3,1,1,1,1,4,1,1,1,3,10,1,1,2,1,5,1,1,1,3,1,1,2,2,6,2,2,2,1,7,21,31
AND,Andorra,F,1,1,4,4,4,12,4,4,4,3,15,3,4,4,11,38,3,3,4,4,14,4,4,3,11,4,4,4,3,15,4,4,3,4,15,55,93
AGO,Angola,NF,6,5,0,2,1,3,1,1,1,2,5,1,1,0,2,10,1,2,2,2,7,1,1,1,3,1,1,1,2,5,1,1,1,0,3,18,28
ATG,Antigua and Barbuda,F,2,2,4,4,3,11,3,4,3,3,13,3,2,3,8,32,3,4,4,4,15,4,3,3,10,4,3,3,3,13,4,3,3,3,13,51,83
ARG,Argentina,F,2,2,4,4,3,11,4,4,4,4,16,3,2,3,8,35,3,4,3,4,14,4,4,3,11,2,3,3,3,11,4,3,4,3,14,50,85
ARM,Armenia,PF,4,4,2,2,3,7,3,3,2,2,10,2,2,2,6,23,2,2,2,3,9,3,3,2,8,1,1,1,2,5,2,3,2,2,9,31,54
AUS,Australia,F,1,1,4,4,4,12,4,4,4,3,15,4,4,4,12,39,3,4,4,4,15,4,4,3,11,4,4,4,3,15,4,4,4,3,15,56,95
AUT,Austria,F,1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,37,3,3,4,4,14,4,4,4,12,4,4,4,3,15,4,4,4,3,15,56,93
AZE,Azerbaijan,NF,7,7,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,1,2,0,0,1,1,0,0,0,0,0,1,1,1,1,4,7,7
BHS,Bahamas,F,1,2,4,4,4,12,4,4,4,4,16,4,3,3,10,38,3,4,4,4,15,4,4,4,12,4,3,3,2,12,3,4,3,3,13,52,90
BHR,Bahrain,NF,7,6,0,1,1,2,0,0,0,0,0,0,2,0,2,2,0,1,0,1,2,0,0,1,1,0,1,0,0,1,1,2,2,1,6,10,12
BGD,Bangladesh,PF,5,4,1,1,2,4,3,1,2,2,8,1,1,2,4,16,2,2,2,2,8,2,2,2,6,2,1,2,1,6,3,2,2,2,9,29,45
BRB,Barbados,F,1,1,4,4,4,12,4,3,4,4,15,4,3,3,10,37,4,4,4,4,16,4,4,4,12,4,4,3,3,14,4,4,3,4,15,57,94
BLR,Belarus,NF,7,7,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,5,6,7
BEL,Belgium,F,1,1,4,4,4,12,4,4,4,4,16,4,3,4,11,39,4,3,4,4,15,4,4,4,12,4,4,4,3,15,4,4,4,3,15,57,96
BLZ,Belize,F,2,1,4,4,4,12,4,4,4,2,14,4,2,3,9,35,4,4,4,4,16,4,4,3,11,4,3,3,3,13,4,3,3,3,13,53,88
BEN,Benin,PF,4,3,1,2,1,4,1,2,3,3,9,1,2,2,5,18,2,4,4,4,14,3,3,3,9,2,2,2,3,9,3,3,2,2,10,42,60
BTN,Bhutan,F,2,3,4,4,3,11,4,4,3,2,13,3,3,3,9,32,3,2,2,3,10,2,2,2,6,3,2,3,2,10,2,3,3,2,10,36,68
BOL,Bolivia,PF,3,3,4,4,2,10,3,2,2,3,10,2,2,2,6,26,2,4,4,4,14,3,3,3,9,1,1,2,2,6,3,2,3,2,10,39,65
BIH,Bosnia and Herzegovina,PF,5,3,2,2,1,5,3,2,1,2,8,2,1,1,4,17,2,3,2,3,10,3,3,2,8,1,2,2,2,7,3,2,3,2,10,35,52
