iso3,countryn,cow,vdem,male_suffrage,female_suffrage,executive_elections,legislative_elections,multi-party_legislative_elections,competitive_elections,lexical_index,political_liberties,lexical_index_plus,democratic_transition,transition_type,democratic_breakdown,breakdown_type,turnover_period,turnover_event,two_turnover_period,sovereign
USA,United States,2,20,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
CAN,Canada,20,66,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
BHS,Bahamas,31,145,1,1,1,1,1,1,6,1,7,0,0,0,0,1,1,1,1
CUB,Cuba,40,155,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1
HTI,Haiti,41,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DOM,Dominican Republic,42,114,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
JAM,Jamaica,51,120,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
TTO,Trinidad and Tobago,52,135,1,1,1,1,1,1,6,1,7,0,0,0,0,1,1,1,1
BRB,Barbados,53,147,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,0,1
DMA,Dominica,54,159,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
GRD,Grenada,55,165,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
LCA,St. Lucia,56,192,1,1,1,1,1,1,6,1,7,0,0,0,0,1,1,1,1
VCT,St. Vincent and the Grenadines,57,193,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
ATG,Antigua and Barbuda,58,143,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
KNA,St. Kitts and Nevis,60,191,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
MEX,Mexico,70,3,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
BLZ,Belize,80,149,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
GTM,Guatemala,90,78,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
HND,Honduras,91,27,1,1,1,1,1,1,6,0,6,1,2,0,0,1,1,0,1
SLV,El Salvador,92,22,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
NIC,Nicaragua,93,59,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1
CRI,Costa Rica,94,73,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
PAN,Panama,95,92,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
COL,Colombia,100,15,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
VEN,Venezuela,101,51,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1
GUY,Guyana,110,166,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
SUR,Suriname,115,4,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
ECU,Ecuador,130,75,1,1,1,1,1,1,6,0,6,0,0,0,0,1,1,1,1
PER,Peru,135,30,1,1,1,1,1,1,6,1,7,0,0,0,0,1,1,1,1
BRA,Brazil,140,19,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
BOL,Bolivia,145,25,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,0,1
PRY,Paraguay,150,189,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
CHL,Chile,155,72,1,1,1,1,1,1,6,1,7,0,0,0,0,1,1,1,1
ARG,Argentina,160,37,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
URY,Uruguay,165,102,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
GBR,United Kingdom,200,101,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
IRL,Ireland,205,81,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
NLD,Netherlands,210,91,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
BEL,Belgium,211,148,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
LUX,Luxembourg,212,174,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
FRA,France,220,76,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
MCO,Monaco,221,182,1,1,0,1,1,0,2,1,2,0,0,0,0,0,0,0,1
LIE,Liechtenstein,223,172,1,1,0,1,1,0,2,1,2,0,0,0,0,0,0,0,1
CHE,Switzerland,225,6,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,0,1
ESP,Spain,230,96,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
AND,Andorra,232,142,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,0,1
PRT,Portugal,235,21,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
DEU,Germany,255,77,1,1,1,1,1,1,6,1,7,0,0,0,0,1,1,1,1
POL,Poland,290,17,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
AUT,Austria,305,144,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
HUN,Hungary,310,210,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
CZE,Czech Republic,316,157,1,1,1,1,1,1,6,1,7,0,0,0,0,1,1,1,1
SVK,Slovakia,317,201,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
ITA,Italy,325,82,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
SMR,San Marino,331,195,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
MLT,Malta,338,178,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
ALB,Albania,339,12,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
MNE,Montenegro,341,183,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,0,1
MKD,Macedonia,343,176,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
HRV,Croatia,344,154,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
SRB,Serbia,345,198,1,1,1,1,1,0,3,0,3,0,0,0,0,1,0,1,1
BIH,Bosnia and Herzegovina,346,150,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
XKX,Kosovo,347,43,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
SVN,Slovenia,349,202,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
GRC,Greece,350,164,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
CYP,Cyprus,352,156,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
BGR,Bulgaria,355,152,1,1,1,1,1,1,6,1,7,0,0,0,0,1,1,1,1
MDA,Moldova,359,126,1,1,1,1,1,1,6,0,6,0,0,0,0,1,1,1,1
ROU,Romania,360,190,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
RUS,Russia,365,11,1,1,1,1,1,0,3,0,3,0,0,0,0,0,0,0,1
EST,Estonia,366,161,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
LVA,Latvia,367,84,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
LTU,Lithuania,368,173,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
UKR,Ukraine,369,100,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
BLR,Belarus,370,107,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1
ARM,Armenia,371,105,1,1,1,1,1,1,6,0,6,0,0,0,0,0,0,0,1
GEO,Georgia,372,118,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
AZE,Azerbaijan,373,106,1,1,1,1,1,0,3,0,3,0,0,0,0,0,0,0,1
FIN,Finland,375,163,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
