iso3,country,rdi,christian,muslim,unaffiliated,hindu,buddhist,folk,other,jewish,population,dominant_religion,maj_christian,maj_muslim,maj_unaffiliated,maj_hindu,maj_buddhist,maj_folk,maj_other,maj_jewish
AFG,Afghanistan,0.1,0.001,0.997,0.0,0.0,0.0,0.0,0.0,0.0,31410000,muslim,0,1,0,0,0,0,0,0
ALB,Albania,3.7,0.18,0.803,0.014,0.0,0.0,0.0,0.002,0.0,3200000,muslim,0,1,0,0,0,0,0,0
DZA,Algeria,0.5,0.002,0.979,0.018,0.0,0.0,0.0,0.0,0.0,35470000,muslim,0,1,0,0,0,0,0,0
ASM,American Samoa,0.4,0.983,0.0,0.007,0.0,0.003,0.004,0.003,0.0,70000,christian,1,0,0,0,0,0,0,0
AND,Andorra,2.2,0.895,0.008,0.088,0.005,0.0,0.0,0.001,0.003,80000,christian,1,0,0,0,0,0,0,0
AGO,Angola,2.0,0.905,0.002,0.051,0.0,0.0,0.042,0.0,0.0,19080000,christian,1,0,0,0,0,0,0,0
AIA,Anguilla,2.0,0.906,0.003,0.04,0.004,0.0,0.029,0.016,0.001,20000,christian,1,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,1.5,0.93,0.006,0.017,0.002,0.0,0.036,0.01,0.0,90000,christian,1,0,0,0,0,0,0,0
ARG,Argentina,3.0,0.852,0.01,0.122,0.0,0.0,0.008,0.003,0.005,40410000,christian,1,0,0,0,0,0,0,0
ARM,Armenia,0.3,0.985,0.0,0.013,0.0,0.0,0.0,0.001,0.0,3090000,christian,1,0,0,0,0,0,0,0
ABW,Aruba,1.7,0.919,0.002,0.06,0.0,0.001,0.013,0.001,0.004,110000,christian,1,0,0,0,0,0,0,0
AUS,Australia,5.6,0.673,0.024,0.242,0.014,0.027,0.007,0.008,0.005,22270000,christian,1,0,0,0,0,0,0,0
AUT,Austria,3.8,0.804,0.054,0.135,0.0,0.002,0.0,0.001,0.002,8390000,christian,1,0,0,0,0,0,0,0
AZE,Azerbaijan,0.7,0.03,0.969,0.0,0.0,0.0,0.0,0.0,0.0,9190000,muslim,0,1,0,0,0,0,0,0
BHS,Bahamas,0.9,0.96,0.001,0.031,0.0,0.0,0.003,0.003,0.0,340000,christian,1,0,0,0,0,0,0,0
BHR,Bahrain,5.4,0.145,0.703,0.019,0.098,0.025,0.0,0.002,0.006,1260000,muslim,0,1,0,0,0,0,0,0
BGD,Bangladesh,2.1,0.002,0.898,0.0,0.091,0.005,0.004,0.0,0.0,148690000,muslim,0,1,0,0,0,0,0,0
BRB,Barbados,1.1,0.952,0.01,0.019,0.004,0.0,0.0,0.014,0.0,270000,christian,1,0,0,0,0,0,0,0
BLR,Belarus,4.7,0.712,0.002,0.286,0.0,0.0,0.0,0.0,0.0,9600000,christian,1,0,0,0,0,0,0,0
BEL,Belgium,5.7,0.642,0.059,0.29,0.0,0.002,0.002,0.0,0.003,10710000,christian,1,0,0,0,0,0,0,0
BLZ,Belize,2.6,0.876,0.001,0.089,0.002,0.005,0.015,0.001,0.01,310000,christian,1,0,0,0,0,0,0,0
BEN,Benin,7.2,0.53,0.238,0.05,0.0,0.0,0.181,0.0,0.0,8850000,christian,1,0,0,0,0,0,0,0
BMU,Bermuda,4.6,0.75,0.011,0.194,0.0,0.005,0.03,0.008,0.003,60000,christian,1,0,0,0,0,0,0,0
BTN,Bhutan,4.5,0.005,0.002,0.0,0.226,0.747,0.019,0.0,0.0,730000,buddhist,0,0,0,0,1,0,0,0
BOL,Bolivia,1.3,0.939,0.0,0.041,0.0,0.0,0.009,0.01,0.0,9930000,christian,1,0,0,0,0,0,0,0
BIH,Bosnia-Herzegovina,6.0,0.523,0.452,0.025,0.0,0.0,0.0,0.0,0.0,3760000,christian,1,0,0,0,0,0,0,0
BWA,Botswana,5.0,0.721,0.004,0.206,0.003,0.0,0.06,0.006,0.0,2010000,christian,1,0,0,0,0,0,0,0
BRA,Brazil,2.3,0.889,0.0,0.079,0.0,0.001,0.028,0.002,0.0,194950000,christian,1,0,0,0,0,0,0,0
VGB,British Virgin Islands,3.2,0.845,0.012,0.039,0.012,0.0,0.084,0.008,0.0,20000,christian,1,0,0,0,0,0,0,0
BRN,Brunei,4.8,0.094,0.751,0.004,0.003,0.086,0.062,0.001,0.0,400000,muslim,0,1,0,0,0,0,0,0
BGR,Bulgaria,3.5,0.821,0.137,0.042,0.0,0.0,0.0,0.0,0.0,7490000,christian,1,0,0,0,0,0,0,0
BFA,Burkina Faso,6.2,0.225,0.616,0.004,0.0,0.0,0.154,0.0,0.0,16470000,muslim,0,1,0,0,0,0,0,0
MMR,Burma (Myanmar),4.0,0.078,0.04,0.005,0.017,0.801,0.058,0.002,0.0,47960000,buddhist,0,0,0,0,1,0,0,0
BDI,Burundi,1.8,0.915,0.028,0.0,0.0,0.0,0.057,0.0,0.0,8380000,christian,1,0,0,0,0,0,0,0
KHM,Cambodia,0.7,0.004,0.02,0.002,0.0,0.969,0.006,0.0,0.0,14140000,buddhist,0,0,0,0,1,0,0,0
CMR,Cameroon,5.3,0.703,0.183,0.053,0.0,0.0,0.033,0.027,0.0,19600000,christian,1,0,0,0,0,0,0,0
CAN,Canada,5.3,0.69,0.021,0.237,0.014,0.008,0.012,0.009,0.01,34020000,christian,1,0,0,0,0,0,0,0
CPV,Cape Verde,2.3,0.891,0.001,0.091,0.0,0.0,0.015,0.002,0.0,500000,christian,1,0,0,0,0,0,0,0
CYM,Cayman Islands,3.3,0.835,0.004,0.094,0.009,0.0,0.045,0.006,0.008,60000,christian,1,0,0,0,0,0,0,0
CAF,Central African Republic,2.2,0.895,0.085,0.01,0.0,0.0,0.01,0.0,0.0,4400000,christian,1,0,0,0,0,0,0,0
TCD,Chad,6.0,0.406,0.553,0.025,0.0,0.0,0.014,0.001,0.0,11230000,muslim,0,1,0,0,0,0,0,0
CHL,Chile,2.2,0.894,0.0,0.086,0.0,0.0,0.015,0.002,0.001,17110000,christian,1,0,0,0,0,0,0,0
CHN,China,7.3,0.051,0.018,0.522,0.0,0.182,0.219,0.007,0.0,1341340000,unaffiliated,0,0,1,0,0,0,0,0
COL,Colombia,1.6,0.925,0.0,0.066,0.0,0.0,0.008,0.0,0.0,46290000,christian,1,0,0,0,0,0,0,0
COM,Comoros,0.4,0.005,0.983,0.001,0.0,0.0,0.01,0.0,0.0,730000,muslim,0,1,0,0,0,0,0,0
COK,Cook Islands,0.9,0.96,0.0,0.032,0.0,0.0,0.0,0.008,0.0,20000,christian,1,0,0,0,0,0,0,0
CRI,Costa Rica,1.9,0.909,0.0,0.079,0.0,0.0,0.008,0.003,0.0,4660000,christian,1,0,0,0,0,0,0,0
HRV,Croatia,1.4,0.934,0.014,0.051,0.0,0.0,0.0,0.0,0.0,4400000,christian,1,0,0,0,0,0,0,0
CUB,Cuba,6.5,0.592,0.0,0.23,0.002,0.0,0.174,0.0,0.0,11260000,christian,1,0,0,0,0,0,0,0
CYP,Cyprus,4.6,0.732,0.253,0.012,0.0,0.002,0.0,0.0,0.0,1100000,christian,1,0,0,0,0,0,0,0
CZE,Czech Republic,4.1,0.233,0.0,0.764,0.0,0.0,0.0,0.0,0.0,10490000,unaffiliated,0,0,1,0,0,0,0,0
COD,Democratic Republic of the Congo,0.9,0.958,0.015,0.018,0.0,0.0,0.007,0.001,0.0,65970000,christian,1,0,0,0,0,0,0,0
DNK,Denmark,3.3,0.835,0.041,0.118,0.004,0.002,0.0,0.0,0.0,5550000,christian,1,0,0,0,0,0,0,0
DJI,Djibouti,0.7,0.023,0.969,0.002,0.0,0.0,0.003,0.0,0.002,890000,muslim,0,1,0,0,0,0,0,0
DMA,Dominica,1.2,0.944,0.001,0.005,0.0,0.001,0.03,0.017,0.0,70000,christian,1,0,0,0,0,0,0,0
DOM,Dominican Republic,2.4,0.88,0.0,0.109,0.0,0.0,0.009,0.001,0.0,9930000,christian,1,0,0,0,0,0,0,0
ECU,Ecuador,1.3,0.941,0.0,0.055,0.0,0.0,0.003,0.0,0.0,14460000,christian,1,0,0,0,0,0,0,0
EGY,Egypt,1.1,0.051,0.949,0.0,0.0,0.0,0.0,0.0,0.0,81120000,muslim,0,1,0,0,0,0,0,0
SLV,El Salvador,2.4,0.882,0.0,0.11,0.0,0.0,0.005,0.003,0.0,6190000,christian,1,0,0,0,0,0,0,0
GNQ,Equatorial Guinea,2.4,0.887,0.04,0.05,0.0,0.0,0.017,0.005,0.0,700000,christian,1,0,0,0,0,0,0,0
