country,rdi,christian,muslim,unaffiliated,hindu,buddhist,folk,other,jewish,population
Afghanistan,0.1,0.001,0.997,0.0,0.0,0.0,0.0,0.0,0.0,31410000
Albania,3.7,0.18,0.803,0.014,0.0,0.0,0.0,0.002,0.0,3200000
Algeria,0.5,0.002,0.979,0.018,0.0,0.0,0.0,0.0,0.0,35470000
American Samoa,0.4,0.983,0.0,0.007,0.0,0.003,0.004,0.003,0.0,70000
Andorra,2.2,0.895,0.008,0.088,0.005,0.0,0.0,0.001,0.003,80000
Angola,2.0,0.905,0.002,0.051,0.0,0.0,0.042,0.0,0.0,19080000
Anguilla,2.0,0.906,0.003,0.04,0.004,0.0,0.029,0.016,0.001,20000
Antigua and Barbuda,1.5,0.93,0.006,0.017,0.002,0.0,0.036,0.01,0.0,90000
Argentina,3.0,0.852,0.01,0.122,0.0,0.0,0.008,0.003,0.005,40410000
Armenia,0.3,0.985,0.0,0.013,0.0,0.0,0.0,0.001,0.0,3090000
Aruba,1.7,0.919,0.002,0.06,0.0,0.001,0.013,0.001,0.004,110000
Australia,5.6,0.673,0.024,0.242,0.014,0.027,0.007,0.008,0.005,22270000
Austria,3.8,0.804,0.054,0.135,0.0,0.002,0.0,0.001,0.002,8390000
Azerbaijan,0.7,0.03,0.969,0.0,0.0,0.0,0.0,0.0,0.0,9190000
Bahamas,0.9,0.96,0.001,0.031,0.0,0.0,0.003,0.003,0.0,340000
Bahrain,5.4,0.145,0.703,0.019,0.098,0.025,0.0,0.002,0.006,1260000
Bangladesh,2.1,0.002,0.898,0.0,0.091,0.005,0.004,0.0,0.0,148690000
Barbados,1.1,0.952,0.01,0.019,0.004,0.0,0.0,0.014,0.0,270000
Belarus,4.7,0.712,0.002,0.286,0.0,0.0,0.0,0.0,0.0,9600000
Belgium,5.7,0.642,0.059,0.29,0.0,0.002,0.002,0.0,0.003,10710000
Belize,2.6,0.876,0.001,0.089,0.002,0.005,0.015,0.001,0.01,310000
Benin,7.2,0.53,0.238,0.05,0.0,0.0,0.181,0.0,0.0,8850000
Bermuda,4.6,0.75,0.011,0.194,0.0,0.005,0.03,0.008,0.003,60000
Bhutan,4.5,0.005,0.002,0.0,0.226,0.747,0.019,0.0,0.0,730000
Bolivia,1.3,0.939,0.0,0.041,0.0,0.0,0.009,0.01,0.0,9930000
Bosnia-Herzegovina,6.0,0.523,0.452,0.025,0.0,0.0,0.0,0.0,0.0,3760000
Botswana,5.0,0.721,0.004,0.206,0.003,0.0,0.06,0.006,0.0,2010000
Brazil,2.3,0.889,0.0,0.079,0.0,0.001,0.028,0.002,0.0,194950000
British Virgin Islands,3.2,0.845,0.012,0.039,0.012,0.0,0.084,0.008,0.0,20000
Brunei,4.8,0.094,0.751,0.004,0.003,0.086,0.062,0.001,0.0,400000
Bulgaria,3.5,0.821,0.137,0.042,0.0,0.0,0.0,0.0,0.0,7490000
Burkina Faso,6.2,0.225,0.616,0.004,0.0,0.0,0.154,0.0,0.0,16470000
Burma (Myanmar),4.0,0.078,0.04,0.005,0.017,0.801,0.058,0.002,0.0,47960000
Burundi,1.8,0.915,0.028,0.0,0.0,0.0,0.057,0.0,0.0,8380000
Cambodia,0.7,0.004,0.02,0.002,0.0,0.969,0.006,0.0,0.0,14140000
Cameroon,5.3,0.703,0.183,0.053,0.0,0.0,0.033,0.027,0.0,19600000
Canada,5.3,0.69,0.021,0.237,0.014,0.008,0.012,0.009,0.01,34020000
Cape Verde,2.3,0.891,0.001,0.091,0.0,0.0,0.015,0.002,0.0,500000
Cayman Islands,3.3,0.835,0.004,0.094,0.009,0.0,0.045,0.006,0.008,60000
Central African Republic,2.2,0.895,0.085,0.01,0.0,0.0,0.01,0.0,0.0,4400000
Chad,6.0,0.406,0.553,0.025,0.0,0.0,0.014,0.001,0.0,11230000
Channel Islands,2.9,0.852,0.0,0.142,0.0,0.0,0.0,0.003,0.0,150000
Chile,2.2,0.894,0.0,0.086,0.0,0.0,0.015,0.002,0.001,17110000
China,7.3,0.051,0.018,0.522,0.0,0.182,0.219,0.007,0.0,1341340000
Colombia,1.6,0.925,0.0,0.066,0.0,0.0,0.008,0.0,0.0,46290000
