cowcode,ardacode,iso3,numiso,country,chrsprot,chrscat,chrsorth,chrsang,chrsothr,chrsgen,judorth,jdcons,judref,judothr,judgen,islmsun,islmshi,islmibd,islmnat,islmalw,islmahm,islmothr,islmgen,budmah,budthr,budothr,budgen,zorogen,hindgen,sikhgen,shntgen,bahgen,taogen,jaingen,confgen,syncgen,anmgen,nonrelig,othrgen,sumrelig,pop,chprtpct,chcatpct,chortpct,changpct,chothpct,chgenpct,jdorpct,jdcnpct,jdrfpct,jdotpct,jdgenpct,issunpct,isshipct,isibdpct,isnatpct,isalapct,isahmpct,islotpct,isgenpct,bumahpct,buthrpct,buothpct,bugenpct,zogenpct,higenpct,sigenpct,shgenpct,bagenpct,tagenpct,jagenpct,cogenpct,sygenpct,angenpct,norelpct,otgenpct,sumpct,total,dualrel,datatype,sreliab,rreliab,reliab,sourcecd,version,dominant_religion
2,234,USA,840,United States of America,119755961,78397889,7036875,4847625,23072957,233111307,1051778,1747021,2436322,707127,5942248,2476980,337770,0,0,0,0,0,2814750,908236,0,2502000,3410236,1644887,1797698,406908,156375,482784,11768,83984,91591,803181,1773577,59422500,796206,311953794,312750000,0.3829,0.2507,0.02249876543,0.01549876543,0.0738,0.7454,0.0034,0.005598765432,0.007798765432,0.002298765432,0.01899876543,0.007898765432,0.0011,0.0,0.0,0.0,0.0,0.0,0.008998765432,0.002898765432,0.0,0.007998765432,0.01089876543,0.005298765432,0.005698765432,0.001298765432,0.0005,0.0015,0.0,0.0003,0.0003,0.002598765432,0.005698765432,0.19,0.0025,0.9975,1.0,0,24,4,7,3,25,1.1,chprtpct
20,41,CAN,124,Canada,7929127,14497030,785000,2722447,497500,26431104,68061,119107,51045,102091,340304,600000,70000,0,0,0,0,0,670000,0,0,670000,670000,6130,275000,275000,915,18945,3620,3320,2700,27000,70861,5670000,35101,34464899,34500000,0.2298,0.4202,0.02279876543,0.07889876543,0.01439876543,0.7661,0.002,0.0035,0.0015,0.003,0.009898765432,0.01739876543,0.002,0.0,0.0,0.0,0.0,0.0,0.01939876543,0.0,0.0,0.01939876543,0.01939876543,0.0002,0.007998765432,0.007998765432,0.0,0.0005,9.87654321e-05,9.87654321e-05,9.87654321e-05,0.0008,0.0021,0.1643,0.001,0.999,1.0,0,34,7,28,1,26,1.1,chcatpct
31,17,BHS,44,Bahamas,211798,43863,0,46996,0,302657,0,0,0,305,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,1018,9086,153,313159,313312,0.676,0.14,0.0,0.15,0.0,0.966,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0032,0.02899876543,0.0005,0.9995,1.0,0,24,4,8,3,83,1.1,chprtpct
40,63,CUB,192,Cuba,550000,6744696,0,0,112411,7407107,0,0,0,1500,1500,0,0,0,0,0,0,8000,8000,0,0,0,0,0,25000,0,0,0,0,0,0,5620580,0,1478290,0,14540477,11241161,0.04889876543,0.6,0.0,0.0,0.009998765432,0.6589,0.0,0.0,0.0,9.87654321e-05,9.87654321e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0007,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1315,0.0,1.2935,1.2935,1,24,10,20,2,78,1.1,chcatpct
41,103,HTI,332,Haiti,976083,7027799,0,0,0,8003882,0,0,0,120,120,0,0,0,0,0,0,1750,1750,0,0,0,0,0,0,0,0,8527,0,0,0,4392374,0,976083,0,13382736,9760832,0.1,0.72,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.45,0.0,0.1,0.0,1.3711,1.3711,1,24,5,10,2,1,1.1,chcatpct
42,70,DOM,214,Dominican Republic,1493497,7168786,0,0,0,8662283,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1194797,99468,9857180,9956648,0.15,0.72,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.009998765432,0.99,1.0,0,123,8,24,2,78,1.1,chcatpct
51,116,JAM,388,Jamaica,1736000,58000,0,75000,105000,1974000,0,0,0,531,531,0,0,0,0,0,0,1513,1513,0,0,322,322,0,15961,0,0,209,0,0,0,0,0,572000,304094,2564536,2868630,0.6052,0.02019876543,0.0,0.02609876543,0.0366,0.6881,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0005,0.0,0.0,9.87654321e-05,9.87654321e-05,0.0,0.005598765432,0.0,0.0,9.87654321e-05,0.0,0.0,0.0,0.0,0.0,0.1994,0.1059987654,0.894,1.0,0,1,80,5,3,80,1.1,chprtpct
52,224,TTO,780,Trinidad and Tobago,365100,285670,3500,75000,0,729270,0,0,0,0,0,0,0,0,0,0,0,65700,65700,0,0,0,0,0,240100,0,0,0,0,0,0,0,0,175640,94290,1210710,1305000,0.2798,0.2189,0.0027,0.05749876543,0.0,0.5588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05029876543,0.05029876543,0.0,0.0,0.0,0.0,0.0,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1346,0.0723,0.9277,1.0,0,1,4,5,3,81,1.1,chprtpct
53,20,BRB,52,Barbados,101335,11464,0,72957,0,185756,0,0,0,30,30,0,0,0,0,0,0,2300,2300,0,0,120,120,0,1200,0,0,0,0,0,0,0,0,59184,40115,248590,288705,0.351,0.03969876543,0.0,0.2527,0.0,0.6434,0.0,0.0,0.0,9.87654321e-05,9.87654321e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.007998765432,0.007998765432,0.0,0.0,0.0004,0.0004,0.0,0.004198765432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.205,0.1389,0.8611,1.0,0,124,4,10,2,1,1.1,chprtpct
54,69,DMA,212,Dominica,10950,56210,0,0,0,67160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4380,1460,71540,73000,0.15,0.77,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05999876543,0.01999876543,0.98,1.0,0,24,4,5,3,78,1.1,chcatpct
