wps_rank,country,women_peace_and_security_index,education,employment,financial_inclusion,cell_phone_use,parliamentary_representation,absence_of_legal_discrimination,access_to_justice,maternal_mortality_ratio,son_bias,intimate_partner_violence_,community_safety,political_violence_targeting_women,proximity_to_conflict
1,Denmark,0.932,13.15695,76.96354203738596,100.0,100.0,43.57541899441341,100.0,3.96,4.66,105.7,3.0,78.0,0.0,0.0
2,Switzerland,0.928,13.48301029,78.44339561245617,99.01793599128723,91.0,39.34426229508197,88.125,3.893,7.38,105.1,2.0,85.0,0.0,0.0
3,Sweden,0.926,12.76821041,79.98667452330612,100.0,100.0,46.41833810888252,100.0,3.806,4.51,105.7,6.0,74.0,0.0,0.0
4,Finland,0.924,13.04683971,77.65015202692881,99.07851,100.0,45.5,97.5,3.419,8.34,105.2,8.0,78.0,0.0,0.0
4,Iceland,0.924,13.86952972,78.62548379424422,100.0,100.0,47.61904761904762,100.0,3.344,2.65,106.1,3.0,74.0,0.0,0.0
4,Luxembourg,0.924,13.0062666,73.04947960149161,98.17749,94.0,35.0,100.0,3.856,6.49,105.2,4.0,88.0,0.0,0.0
7,Norway,0.92,13.13508034,78.61903617128782,100.0,100.0,46.15384615384615,96.875,3.118,1.66,106.2,4.0,86.0,0.0,0.0
8,Austria,0.911,11.97801018,72.1876261619031,100.0,95.0,40.57377049180328,96.875,3.397,5.23,105.5,4.0,82.0,0.0,0.0
9,Netherlands,0.908,12.3527298,77.18633073929533,99.47451000000001,92.0,37.77777777777778,100.0,3.479,4.31,105.2,5.0,72.0,0.0,0.0
10,New Zealand,0.904,12.93587971,78.22074566260613,99.24374999999999,96.0,50.0,97.5,3.583,7.03,105.3,4.0,42.0,0.0,0.0
11,Australia,0.902,12.81058979,75.24648620181259,100.0,94.0,44.49339207048458,96.875,3.703,2.94,105.6,3.0,54.0,0.0,0.0
11,Belgium,0.902,12.31939983,69.90171937193547,98.65115,93.0,43.333333333333336,100.0,3.897,4.76,104.8,5.0,56.00000000000001,0.0,0.0
13,Estonia,0.892,13.78102016,79.01181895497042,99.59705,100.0,27.722772277227723,97.5,3.444,5.18,106.1,4.0,71.0,0.0,0.0
13,Ireland,0.892,11.78455323,70.80123898477218,99.53479,92.0,27.397260273972602,100.0,3.745,4.98,105.5,3.0,78.0,0.0,0.0
15,Singapore,0.887,11.62705994,75.90670255030118,96.87419,100.0,29.12621359223301,82.5,3.251,7.45,106.0,2.0,94.0,0.0,0.0
16,Lithuania,0.886,13.58351994,79.31724247218389,90.37598,95.0,28.368794326241133,93.75,3.721,8.66,105.2,5.0,61.0,0.0,0.0
17,Canada,0.885,13.91497893,75.0613892642667,99.50556,85.0,35.1981351981352,100.0,2.607,11.01,105.4,3.0,61.0,0.0,0.0
18,Czechia,0.884,12.71214962,75.09371254298804,93.44149,99.0,23.843416370106763,93.75,3.849,3.37,105.3,4.0,67.0,0.0,0.0
19,Portugal,0.877,9.607560158,76.68994444552847,90.18294,92.0,36.08695652173913,100.0,3.177,11.8,105.5,4.0,72.0,0.0,0.0
20,Latvia,0.872,13.56832981,74.84587907941534,97.5526,100.0,29.0,100.0,3.527,18.32,106.5,6.0,62.0,0.0,0.0
21,Germany,0.871,13.84053479,76.89869139500442,100.0,88.0,35.52795031055901,100.0,3.901,4.43,105.6,3.0,71.0,0.00710335891560691,0.0
22,United Arab Emirates,0.868,12.52534008,55.74609492754319,86.68295,100.0,50.0,82.5,2.107,9.34,104.6,17.91835,93.0,0.0,0.0
23,Japan,0.866,13.30556444,76.96046662346079,98.84163000000001,91.0,15.492957746478874,78.75,3.614,4.31,105.1,4.0,70.0,0.0,0.0
24,France,0.864,11.43721962,72.70273839693479,100.0,88.0,36.75675675675676,100.0,3.436,7.91,104.9,5.0,69.0,0.0029944033104925233,0.0
25,Croatia,0.862,11.93745426,66.06645936738228,89.96307,89.0,31.788079470198674,93.75,3.323,4.82,106.0,4.0,71.0,0.0,0.0
26,United Kingdom,0.86,13.44999981,75.35768101095371,99.90905,92.0,31.472435450104676,97.5,3.265,9.84,105.5,4.0,74.0,0.005856778971281958,0.0
27,Poland,0.859,13.34002972,70.64489810436551,95.68974,91.0,27.5,93.75,2.582,1.96,106.0,3.0,65.0,0.0,0.0
27,Spain,0.859,10.52787018,64.83576310301206,97.48926,96.0,41.042345276872965,100.0,3.796,3.44,106.3,3.0,78.0,0.004123784803094224,0.0
29,Slovakia,0.856,12.86800003,74.05068684097382,94.01006,96.0,22.0,85.0,3.426,4.82,105.4,6.0,57.99999999999999,0.0,0.0
