iso3,country,ISO Code,wbl_index,mobility,woman_choose_residence,woman_travel_outside_home,woman_apply_passport,woman_travel_abroad,workplace,woman_get_job,law_prohibits_gender_discrimination,law_sexual_harassment,penalties_sexual_harassment,pay,law_equal_pay,woman_work_night,woman_work_dangerous,woman_work_industrial,marriage,no_obey_husband_law,woman_head_household,law_domestic_violence,woman_divorce_rights,woman_remarry_rights,parenthood,paid_maternity_leave_14weeks,paid_maternity_leave_length,govt_pays_maternity_leave,paid_paternity_leave,paid_paternity_leave_length,paid_parental_leave,parental_leave_shared_days,parental_leave_mother_days,parental_leave_father_days,protect_pregnant_workers,entrepreneurship,law_credit_gender_discrimination,woman_sign_contract,woman_register_business,woman_open_bank_account,assets,equal_property_rights,equal_inheritance_children,equal_inheritance_spouses,equal_asset_admin_marriage,value_nonmonetary_contributions,pension,equal_pension_age_full,equal_pension_age_partial,equal_retirement_age,pension_credit_childcare
AFG,Afghanistan,AFG,31.875,25,False,False,True,False,50,False,False,True,True,0,False,False,False,False,20,False,True,False,False,False,20,False,90,False,True,14,False,0,0,0,False,75,False,True,True,True,40,True,False,False,True,False,25,False,False,True,False
ALB,Albania,ALB,91.25,100,True,True,True,True,100,True,True,True,True,100,True,True,True,True,100,True,True,True,True,True,80,True,365,True,True,3,False,0,0,0,True,100,True,True,True,True,100,True,True,True,True,True,50,False,False,True,True
DZA,Algeria,DZA,57.5,75,True,True,False,True,75,True,False,True,True,50,True,False,False,True,60,True,True,True,False,False,60,True,98,True,True,3,False,0,0,0,False,75,False,True,True,True,40,True,False,False,True,False,25,False,False,False,True
AGO,Angola,AGO,79.375,100,True,True,True,True,100,True,True,True,True,50,True,True,False,False,100,True,True,True,True,True,60,False,90,True,True,1,False,0,0,0,True,100,True,True,True,True,100,True,True,True,True,True,25,False,True,False,False
ATG,Antigua and Barbuda,ATG,68.75,75,False,True,True,True,50,True,True,False,False,75,False,True,True,True,100,True,True,True,True,True,20,True,98,False,False,0,False,0,0,0,False,75,False,True,True,True,80,True,True,True,True,False,75,True,True,True,False
ARG,Argentina,ARG,79.375,100,True,True,True,True,75,True,True,True,False,50,True,True,False,False,100,True,True,True,True,True,60,False,90,True,True,2,False,0,0,0,True,75,False,True,True,True,100,True,True,True,True,True,75,False,True,True,True
ARM,Armenia,ARM,90.625,100,True,True,True,True,75,True,True,True,False,75,False,True,True,True,100,True,True,True,True,True,100,True,140,True,True,7,True,660,0,0,True,75,False,True,True,True,100,True,True,True,True,True,100,True,True,True,True
AUS,Australia,AUS,96.875,100,True,True,True,True,100,True,True,True,True,100,True,True,True,True,100,True,True,True,True,True,100,True,0,True,True,0,True,126,14,14,True,100,True,True,True,True,100,True,True,True,True,True,75,True,True,True,False
AUT,Austria,AUT,96.875,100,True,True,True,True,100,True,True,True,True,100,True,True,True,True,100,True,True,True,True,True,100,True,112,True,True,30,True,365,0,0,True,100,True,True,True,True,100,True,True,True,True,True,75,False,True,True,True
AZE,Azerbaijan,AZE,85.0,100,True,True,True,True,100,True,True,True,True,50,False,False,True,True,100,True,True,True,True,True,80,True,126,True,False,0,True,1039,0,0,True,100,True,True,True,True,100,True,True,True,True,True,50,False,True,True,False
BHS,"Bahamas, The",BHS,81.25,100,True,True,True,True,100,True,True,True,True,75,False,True,True,True,80,True,True,True,False,True,20,False,84,False,False,0,False,0,0,0,True,75,False,True,True,True,100,True,True,True,True,True,100,True,True,True,True
BHR,Bahrain,BHR,68.125,50,False,False,True,True,75,False,True,True,True,100,True,True,True,True,40,False,True,True,False,False,40,False,60,False,True,1,False,0,0,0,True,100,True,True,True,True,40,True,False,False,True,False,100,True,True,True,True
BGD,Bangladesh,BGD,49.375,100,True,True,True,True,50,True,False,True,False,25,False,True,False,False,60,True,True,True,False,False,20,True,112,False,False,0,False,0,0,0,False,75,False,True,True,True,40,True,False,False,True,False,25,False,False,True,False
BRB,Barbados,BRB,80.0,75,True,True,False,True,100,True,True,True,True,50,False,True,True,False,100,True,True,True,True,True,40,False,84,True,False,0,False,0,0,0,True,75,False,True,True,True,100,True,True,True,True,True,100,True,True,True,True
BLR,Belarus,BLR,75.625,100,True,True,True,True,50,True,True,False,False,50,True,True,False,False,100,True,True,True,True,True,80,True,126,True,False,0,True,1095,0,0,True,75,False,True,True,True,100,True,True,True,True,True,50,False,False,True,True
BEL,Belgium,BEL,100.0,100,True,True,True,True,100,True,True,True,True,100,True,True,True,True,100,True,True,True,True,True,100,True,105,True,True,28,True,0,120,120,True,100,True,True,True,True,100,True,True,True,True,True,100,True,True,True,True
BLZ,Belize,BLZ,82.5,100,True,True,True,True,75,True,False,True,True,50,False,True,True,False,100,True,True,True,True,True,60,True,98,True,False,0,False,0,0,0,True,75,False,True,True,True,100,True,True,True,True,True,100,True,True,True,True
BEN,Benin,BEN,83.75,75,False,True,True,True,100,True,True,True,True,75,True,True,False,True,80,True,True,True,True,False,60,True,98,False,True,3,False,0,0,0,True,100,True,True,True,True,80,True,True,True,True,False,100,True,True,True,True
BTN,Bhutan,BTN,75.0,100,True,True,True,True,100,True,True,True,True,100,True,True,True,True,80,True,True,True,False,True,40,False,60,False,True,14,False,0,0,0,True,75,False,True,True,True,80,True,True,True,True,False,25,False,False,True,False
BOL,Bolivia,BOL,88.75,100,True,True,True,True,75,True,False,True,True,100,True,True,True,True,100,True,True,True,True,True,60,False,90,True,True,3,False,0,0,0,True,100,True,True,True,True,100,True,True,True,True,True,75,False,True,True,True
BIH,Bosnia and Herzegovina,BIH,85.0,100,True,True,True,True,100,True,True,True,True,50,True,False,True,False,100,True,True,True,True,True,80,True,365,True,True,9,False,0,0,0,True,100,True,True,True,True,100,True,True,True,True,True,50,True,False,True,False
BWA,Botswana,BWA,63.75,75,True,True,False,True,25,True,False,False,False,75,False,True,True,True,100,True,True,True,True,True,0,False,84,False,False,0,False,0,0,0,False,75,False,True,True,True,60,True,False,True,True,False,100,True,True,True,True
BRA,Brazil,BRA,85.0,100,True,True,True,True,100,True,True,True,True,75,False,True,True,True,100,True,True,True,True,True,80,True,120,True,True,7,False,0,0,0,True,75,False,True,True,True,100,True,True,True,True,True,50,False,True,False,True
BRN,Brunei Darussalam,BRN,53.125,50,False,False,True,True,25,True,False,False,False,75,False,True,True,True,40,False,True,True,False,False,0,False,91,False,False,0,False,0,0,0,False,75,False,True,True,True,60,True,False,False,True,True,100,True,True,True,True
BGR,Bulgaria,BGR,90.625,100,True,True,True,True,100,True,True,True,True,100,True,True,True,True,100,True,True,True,True,True,100,True,410,True,True,15,True,365,0,0,True,100,True,True,True,True,100,True,True,True,True,True,25,False,False,False,True
